Measurement Number,Total Samples,Pin44 Active (1/0),Pin45 Active (1/0),Avg Pin44 (mid points),Avg Pin45 (mid points),Out of Normal Range
614,6,0,1,3.5,204.5,0
615,6,1,0,3248.0,3169.0,0
616,6,0,1,3.0,202.0,0
617,6,1,0,3246.0,3169.0,0
618,6,0,1,1.0,203.0,0
619,6,1,0,3247.0,3167.0,0
620,6,0,1,3.5,205.5,0
621,6,1,0,3249.0,3167.5,0
622,6,1,0,3248.5,3169.5,0
623,6,0,1,5.5,204.0,0
624,6,0,1,4.0,206.0,0
625,5,0,1,5.5,204.5,0
626,6,1,0,3246.0,3167.5,0
627,6,1,0,3244.5,3164.0,0
628,6,0,1,5.0,205.0,0
629,6,0,1,2.5,204.5,0
630,6,0,1,7.5,204.0,0
631,6,1,0,3247.5,3167.5,0
632,6,0,1,3.5,206.5,0
633,6,0,1,3.0,205.5,0
634,6,1,0,3246.5,3167.5,0
635,6,1,0,3248.5,3170.5,0
636,6,0,1,3.0,204.5,0
637,6,1,0,3248.5,3169.0,0
638,6,0,1,3.5,202.5,0
639,6,1,0,3249.5,3167.5,0
640,6,1,0,3246.0,3168.0,0
641,6,1,0,3245.5,3165.5,0
642,5,0,1,4.0,207.0,0
643,6,1,0,3246.5,3168.5,0
644,6,1,0,3246.5,3168.5,0
645,6,0,1,3.0,210.0,0
646,6,1,0,3249.0,3171.0,0
647,6,0,1,3.5,204.5,0
648,6,1,0,3245.0,3169.0,0
649,6,1,0,3247.5,3166.0,0
650,6,1,0,3246.0,3167.5,0
651,6,0,1,3.5,206.0,0
652,6,0,1,5.0,205.0,0
653,6,1,0,3247.5,3167.0,0
654,6,0,1,4.0,205.5,0
655,6,1,0,3247.5,3168.0,0
656,6,1,0,3246.5,3167.5,0
657,6,0,1,2.5,211.5,0
658,6,0,1,6.0,203.5,0
659,6,1,0,3248.0,3171.0,0
660,6,0,1,6.5,205.0,0
661,6,0,1,4.0,204.0,0
662,5,1,0,3248.0,3170.5,0
663,6,0,1,4.5,267.0,0
664,6,1,0,3249.5,3170.0,0
665,6,1,0,3247.0,3165.5,0
666,6,1,0,3246.5,3166.5,0
667,5,1,0,3248.0,3169.5,0
668,6,0,1,3.5,204.5,0
669,6,0,1,1.0,203.0,0
670,6,1,0,3247.5,3168.5,0
671,6,1,0,3248.0,3165.5,0
672,5,1,0,3247.0,3167.0,0
