Measurement Number,Total Samples,Pin44 Active (1/0),Pin45 Active (1/0),Avg Pin44 (mid points),Avg Pin45 (mid points),Out of Normal Range
123,6,0,1,3.5,204.0,0
124,6,1,0,3247.5,3168.5,0
125,6,1,0,3249.0,3168.0,0
126,6,1,0,3248.0,3169.5,0
127,5,0,1,6.5,205.0,0
128,6,0,1,3.0,205.5,0
129,6,0,1,5.0,205.0,0
130,6,0,1,5.5,206.5,0
131,6,1,0,3248.5,3169.0,0
132,6,0,1,5.0,206.0,0
133,6,1,0,3248.5,3167.5,0
134,6,0,1,3.5,205.5,0
135,5,1,0,3247.5,3166.5,0
136,6,0,1,4.0,207.0,0
137,6,0,1,7.0,206.0,0
138,6,0,1,3.5,203.5,0
139,6,0,1,5.5,206.5,0
140,6,1,0,3247.0,3166.0,0
141,6,1,0,3247.5,3166.5,0
142,5,1,0,3247.0,3167.0,0
143,6,0,1,4.0,202.5,0
144,5,1,0,3246.5,3168.5,0
145,6,0,1,5.0,206.0,0
146,6,0,1,4.5,204.0,0
147,6,0,1,2.5,205.0,0
148,6,0,1,6.5,207.0,0
149,6,0,1,6.0,203.0,0
150,6,0,1,5.0,204.5,0
151,5,0,1,5.0,205.5,0
152,6,1,0,3247.5,3167.5,0
153,5,1,0,3247.5,3165.5,0
154,6,0,1,4.0,204.0,0
155,6,0,1,6.0,202.5,0
156,6,1,0,3248.0,3168.5,0
157,6,0,1,3.5,203.0,0
158,6,1,0,3248.0,3167.5,0
159,6,1,0,3249.0,3166.5,0
160,6,0,1,3.5,205.5,0
161,6,0,1,6.0,204.0,0
162,6,0,1,4.5,386.0,0
163,5,1,0,3249.5,3170.0,0
164,6,1,0,3248.5,3167.5,0
165,6,0,1,3.5,203.0,0
166,6,0,1,5.5,205.0,0
167,6,1,0,3248.5,3168.5,0
168,6,0,1,5.5,207.0,0
169,6,1,0,3247.0,3168.0,0
170,6,0,1,5.5,205.5,0
171,5,0,1,4.5,206.5,0
172,6,0,1,5.0,203.5,0
173,6,1,0,3248.0,3168.5,0
174,6,1,0,3247.0,3166.0,0
175,6,1,0,3247.5,3170.0,0
176,6,0,1,6.0,206.0,0
177,6,0,1,4.5,203.0,0
178,5,1,0,3248.0,3168.5,0
179,6,0,1,4.5,205.5,0
180,6,1,0,3248.5,3169.5,0
181,6,1,0,3248.5,3168.5,0
182,6,1,0,3245.5,3167.0,0
183,6,1,0,3246.0,3168.5,0
184,6,1,0,3247.0,3166.5,0
185,6,1,0,3249.5,3168.0,0
186,6,1,0,3247.5,3166.0,0
187,6,1,0,3248.0,3167.0,0
188,6,0,1,1.5,204.0,0
189,5,1,0,3247.5,3167.5,0
190,6,1,0,3246.5,3167.5,0
191,6,0,1,5.5,205.5,0
192,6,0,1,4.0,213.5,0
193,6,0,1,4.0,204.5,0
194,6,1,0,3248.0,3168.5,0
195,5,0,1,5.0,204.5,0
196,6,0,1,4.0,207.5,0
197,6,1,0,3249.0,3167.5,0
198,6,0,1,3.5,204.0,0
199,6,0,1,5.0,204.5,0
200,5,1,0,3247.5,3167.0,0
201,6,0,1,4.5,206.5,0
202,6,1,0,3249.5,3167.5,0
203,6,1,0,3247.5,3168.0,0
204,6,0,1,5.0,205.0,0
205,6,1,0,3248.5,3166.0,0
206,6,1,0,3248.5,3166.0,0
207,6,1,0,3247.5,3167.0,0
208,6,0,1,3.5,207.0,0
209,6,0,1,5.0,207.0,0
210,6,0,1,6.5,204.0,0
211,6,0,1,5.5,206.5,0
212,5,0,1,4.0,207.5,0
213,6,1,0,3247.5,3167.0,0
214,5,0,1,4.5,206.5,0
215,6,0,1,3.5,203.5,0
216,5,0,1,4.0,204.5,0
217,6,1,0,3247.5,3168.5,0
218,6,0,1,5.0,206.5,0
219,5,0,1,5.0,205.5,0
220,6,1,0,3246.0,3166.5,0
221,6,0,1,6.0,205.0,0
222,6,1,0,3249.0,3168.0,0
223,5,1,0,3248.5,3167.0,0
224,6,1,0,3247.0,3166.5,0
225,6,0,1,4.5,204.0,0
226,6,1,0,3248.0,3168.0,0
227,6,0,1,2.5,203.5,0
228,6,0,1,5.5,205.5,0
229,6,1,0,3247.5,3166.5,0
230,6,1,0,3252.0,3169.5,0
231,6,1,0,3247.0,3169.5,0
232,6,1,0,3246.0,3168.5,0
233,6,1,0,3246.5,3165.5,0
234,6,0,1,5.0,203.0,0
235,6,1,0,3246.0,3169.0,0
236,6,1,0,3247.5,3166.0,0
237,6,1,0,3248.0,3166.0,0
238,5,1,0,3247.5,3169.5,0
239,6,1,0,3247.0,3167.5,0
240,6,0,1,6.5,205.5,0
241,6,1,0,3248.0,3168.5,0
242,6,1,0,3248.0,3167.5,0
243,6,0,0,1666.5,394.0,1
244,6,0,1,4.5,208.0,0
245,6,1,0,3249.5,3168.5,0
246,6,0,1,4.0,205.0,0
247,6,1,0,3248.5,3167.5,0
248,6,1,0,3247.0,3169.5,0
249,6,1,0,3246.5,3170.5,0
250,6,1,0,3249.0,3166.5,0
251,6,1,0,3247.0,3167.5,0
252,6,1,0,3247.0,3169.0,0
253,5,1,0,3248.5,3169.0,0
254,6,0,1,5.5,206.0,0
255,6,0,1,6.5,204.5,0
256,6,0,1,5.5,207.5,0
257,5,0,1,5.0,207.0,0
258,6,1,0,3247.0,3165.5,0
259,6,1,0,3247.5,3167.5,0
260,6,0,1,4.5,204.0,0
261,6,1,0,3248.0,3168.0,0
262,6,0,1,5.0,202.0,0
263,6,0,1,4.0,205.0,0
264,6,0,1,3.5,202.5,0
265,5,0,1,5.0,205.0,0
266,6,0,1,6.0,206.5,0
267,6,1,0,3247.5,3167.5,0
268,6,1,0,3246.5,3170.0,0
269,6,0,1,4.0,204.5,0
270,5,1,0,3250.0,3167.0,0
271,6,0,1,2.5,208.0,0
272,6,0,1,4.0,208.0,0
273,6,1,0,3248.0,3166.0,0
274,5,1,0,3248.0,3167.0,0
275,6,1,0,3247.5,3167.5,0
276,6,1,0,3247.0,3167.0,0
277,5,1,0,3250.0,3169.5,0
278,6,1,0,3246.0,3166.5,0
279,6,1,0,3248.0,3167.0,0
280,6,0,1,5.5,206.0,0
281,5,0,1,5.0,205.5,0
282,6,0,1,3.5,205.0,0
283,6,0,1,4.5,205.5,0
284,5,0,1,4.0,205.5,0
285,6,1,0,3249.0,3167.5,0
286,6,1,0,3248.0,3168.0,0
287,6,1,0,3248.5,3168.5,0
288,6,0,1,4.0,204.0,0
289,6,1,0,3248.0,3168.5,0
290,6,0,1,3.5,205.0,0
291,6,0,1,6.0,207.0,0
292,6,1,0,3248.0,3166.5,0
293,5,1,0,3247.5,3168.0,0
294,6,0,1,4.0,204.0,0
295,6,0,1,3.5,206.5,0
296,5,1,0,3247.0,3166.5,0
297,6,0,1,6.0,206.5,0
298,6,0,1,4.0,204.5,0
299,6,1,0,3247.0,3168.0,0
300,6,1,0,3248.5,3167.5,0
301,6,1,0,3245.0,3168.5,0
302,6,0,1,5.0,204.0,0
303,5,1,0,3248.0,3167.5,0
304,6,0,1,5.0,204.0,0
305,6,1,0,3248.5,3169.0,0
306,6,1,0,3246.0,3169.5,0
307,6,0,1,2.5,204.0,0
308,6,1,0,3247.0,3168.5,0
309,6,0,1,3.5,206.5,0
310,6,0,1,4.0,203.0,0
311,6,1,0,3246.5,3166.0,0
312,6,0,1,7.0,203.5,0
313,6,0,1,4.0,205.0,0
314,6,1,0,3248.5,3168.0,0
315,5,0,1,5.0,206.0,0
316,6,1,0,3250.5,3169.0,0
317,5,0,1,4.0,204.5,0
318,6,1,0,3249.5,3166.5,0
319,6,0,1,3.5,206.5,0
320,5,1,0,3245.5,3168.0,0
321,6,0,1,2.0,359.5,0
322,5,1,0,3248.0,3165.5,0
323,6,0,1,5.0,204.0,0
324,5,1,0,3246.5,3167.5,0
325,6,1,0,3247.5,3167.0,0
326,6,1,0,3247.0,3168.5,0
327,6,1,0,3248.0,3168.5,0
328,6,0,1,5.5,204.0,0
329,6,0,1,4.0,204.0,0
330,6,1,0,3249.0,3168.0,0
331,5,1,0,3247.5,3169.0,0
332,6,0,1,4.0,205.0,0
333,6,1,0,3248.5,3168.5,0
334,5,0,1,5.0,206.5,0
335,6,0,1,6.0,205.0,0
336,5,1,0,3247.5,3168.0,0
337,6,1,0,3246.5,3167.0,0
338,6,1,0,3250.0,3167.5,0
339,6,0,1,4.5,205.5,0
340,5,1,0,3247.5,3166.0,0
341,6,1,0,3247.5,3166.5,0
342,6,1,0,3247.5,3166.5,0
343,6,1,0,3246.5,3168.0,0
344,6,0,1,4.0,203.5,0
345,5,1,0,3247.5,3165.5,0
346,6,1,0,3248.0,3169.0,0
347,5,1,0,3248.0,3169.0,0
348,6,0,1,4.5,205.5,0
349,6,0,1,6.0,204.0,0
350,5,0,1,5.5,207.5,0
351,6,1,0,3247.0,3168.0,0
352,6,1,0,3247.5,3168.0,0
353,6,1,0,3247.5,3168.5,0
354,6,1,0,3247.0,3167.0,0
355,5,0,1,6.0,204.0,0
356,6,1,0,3247.5,3165.0,0
357,6,1,0,3246.5,3167.0,0
358,6,1,0,3248.5,3168.5,0
359,6,1,0,3247.0,3168.0,0
360,6,1,0,3248.5,3167.5,0
361,6,0,1,5.5,207.5,0
362,5,0,1,2.5,204.0,0
363,6,0,1,4.5,204.0,0
364,5,0,1,3.0,204.0,0
365,6,1,0,3247.5,3170.0,0
366,6,1,0,3247.5,3169.0,0
367,6,1,0,3247.0,3168.0,0
368,6,1,0,3246.0,3167.5,0
369,6,0,1,4.5,204.0,0
370,6,1,0,3247.0,3167.0,0
371,5,1,0,3249.0,3167.5,0
372,6,1,0,3247.0,3170.0,0
373,6,0,1,4.0,205.0,0
374,5,0,1,4.5,204.5,0
375,6,0,1,4.0,204.5,0
376,6,1,0,3247.0,3167.5,0
377,6,1,0,3247.0,3168.0,0
378,5,0,1,5.0,203.5,0
379,6,1,0,3247.5,3169.0,0
380,6,1,0,3248.5,3167.5,0
381,6,1,0,3247.5,3169.0,0
382,6,1,0,3252.5,3169.5,0
383,6,1,0,3247.0,3167.5,0
384,6,0,1,5.0,206.5,0
385,6,0,1,5.5,209.0,0
386,6,1,0,3248.0,3167.5,0
387,6,0,1,6.0,205.5,0
388,6,1,0,3247.5,3165.0,0
389,6,0,1,3.0,205.5,0
390,6,0,1,2.5,206.0,0
391,6,1,0,3248.0,3168.5,0
392,6,1,0,3246.5,3169.0,0
393,6,0,1,4.0,202.5,0
394,6,0,1,4.5,205.5,0
395,6,0,1,4.0,205.5,0
396,5,0,1,4.5,203.0,0
397,6,1,0,3248.5,3168.5,0
398,5,0,1,4.5,205.5,0
399,6,1,0,3248.5,3168.0,0
400,6,0,1,4.0,206.5,0
401,6,0,1,3.5,210.0,0
402,6,1,0,3246.0,3168.0,0
403,6,0,1,4.5,206.5,0
404,6,0,1,4.5,206.5,0
405,6,0,1,4.0,203.5,0
406,6,0,1,5.5,204.0,0
407,6,0,1,4.5,211.5,0
408,5,0,1,5.0,206.5,0
409,6,0,1,5.0,204.0,0
410,5,0,1,5.0,205.0,0
411,6,1,0,3247.0,3165.0,0
412,6,1,0,3247.0,3167.0,0
413,6,0,1,5.5,204.5,0
414,6,1,0,3248.5,3168.0,0
415,6,1,0,3248.0,3169.0,0
416,6,0,1,4.5,337.0,0
417,6,0,1,6.0,258.5,0
418,6,0,1,3.5,208.0,0
419,6,1,0,3248.0,3169.0,0
420,5,1,0,3248.5,3168.0,0
421,6,1,0,3247.5,3170.0,0
422,5,0,1,6.5,207.0,0
423,6,0,1,3.5,205.0,0
424,6,1,0,3248.5,3170.5,0
425,6,0,1,4.0,205.0,0
426,6,1,0,3245.5,3167.0,0
427,5,1,0,3248.0,3169.5,0
428,6,0,1,6.5,205.5,0
429,6,0,1,5.5,205.0,0
430,6,0,1,6.0,208.0,0
431,5,1,0,3246.0,3168.5,0
432,6,0,1,3.0,207.5,0
433,6,0,1,4.0,206.5,0
434,6,1,0,3247.5,3167.0,0
435,6,0,1,3.5,204.0,0
436,5,1,0,3246.0,3166.5,0
437,6,0,1,4.5,206.0,0
438,5,1,0,3247.5,3168.0,0
439,6,1,0,3249.0,3169.5,0
440,6,1,0,3247.5,3166.5,0
441,5,1,0,3248.0,3168.5,0
442,6,0,1,4.0,206.5,0
443,6,0,1,4.0,205.0,0
444,6,0,1,7.5,205.5,0
445,5,0,1,5.5,204.5,0
446,6,0,1,4.5,204.5,0
447,5,0,1,3.0,205.5,0
448,6,1,0,3248.0,3169.0,0
449,6,1,0,3248.0,3168.5,0
450,5,1,0,3248.0,3167.5,0
451,6,1,0,3247.0,3169.5,0
452,5,0,1,4.0,204.0,0
453,6,0,1,3.0,207.0,0
454,6,1,0,3250.5,3168.5,0
455,6,0,1,4.5,206.0,0
456,6,1,0,3248.0,3168.5,0
457,6,0,1,4.5,204.5,0
458,6,0,1,5.5,204.0,0
459,5,1,0,3248.5,3166.5,0
460,6,0,0,2048.5,206.5,1
461,6,0,1,4.5,205.0,0
462,6,0,1,4.5,205.0,0
463,6,0,1,5.5,204.5,0
464,6,0,1,6.0,224.0,0
465,6,1,0,3247.0,3168.0,0
466,6,0,1,3.5,204.0,0
467,6,1,0,3247.5,3166.5,0
468,6,1,0,3246.0,3167.5,0
469,6,0,1,4.0,208.0,0
470,6,1,0,3246.5,3167.5,0
471,6,0,1,3.5,204.0,0
472,6,1,0,3248.0,3168.0,0
473,6,1,0,3248.0,3170.0,0
474,6,0,1,5.0,215.5,0
475,6,1,0,3249.0,3168.5,0
476,6,0,1,6.5,207.0,0
477,6,0,1,4.0,205.5,0
478,6,1,0,3249.5,3168.0,0
479,5,1,0,3245.0,3164.5,0
480,6,0,1,5.0,204.0,0
481,6,0,1,6.0,204.5,0
482,6,1,0,3247.5,3169.5,0
483,6,1,0,3247.5,3170.0,0
484,6,1,0,3247.5,3168.0,0
485,6,0,1,6.0,204.0,0
486,5,1,0,3247.0,3166.0,0
487,6,0,1,4.0,232.5,0
488,6,0,1,3.5,203.0,0
489,6,0,1,4.5,205.5,0
490,6,0,1,5.0,206.0,0
491,5,1,0,3248.5,3168.0,0
492,6,1,0,3246.0,3168.0,0
493,6,0,1,6.0,204.5,0
494,6,1,0,3247.5,3167.0,0
495,6,1,0,3248.5,3167.0,0
496,5,1,0,3247.5,3167.5,0
497,6,1,0,3246.5,3166.5,0
498,6,0,1,4.0,204.5,0
499,6,1,0,3247.5,3166.0,0
500,6,0,1,2.5,206.0,0
501,5,0,1,6.0,204.5,0
502,6,1,0,3247.5,3168.5,0
503,5,1,0,3248.5,3167.5,0
504,6,1,0,3246.5,3165.5,0
505,5,1,0,3248.0,3165.5,0
506,6,0,1,5.0,205.0,0
507,6,1,0,3248.0,3166.5,0
508,6,1,0,3247.0,3165.0,0
509,6,0,1,4.5,203.5,0
510,5,0,1,3.0,206.0,0
511,6,0,1,4.5,206.5,0
512,5,1,0,3249.0,3167.0,0
513,6,0,1,5.0,240.0,0
514,6,0,1,2.0,227.5,0
515,6,0,1,4.0,206.0,0
516,6,0,0,131.5,207.0,1
517,5,0,1,6.0,204.5,0
518,6,1,0,3247.5,3167.5,0
519,6,0,1,4.5,206.0,0
520,6,1,0,3248.0,3165.5,0
521,6,1,0,3246.5,3168.0,0
522,5,0,1,4.0,488.0,0
523,6,1,0,3247.0,3167.0,0
524,6,0,1,5.0,204.5,0
525,6,0,1,5.0,204.5,0
526,6,1,0,3250.0,3170.0,0
527,6,0,1,4.5,205.0,0
528,6,0,1,4.5,205.5,0
529,6,0,1,6.5,206.5,0
530,6,0,1,3.5,205.0,0
531,6,1,0,3247.0,3169.0,0
532,6,0,1,4.0,208.5,0
533,6,0,1,6.0,204.0,0
534,5,0,1,3.5,206.0,0
535,6,0,1,3.0,205.0,0
536,5,0,1,3.0,205.0,0
537,6,0,1,4.5,204.0,0
538,5,0,1,5.0,205.5,0
539,6,1,0,3245.5,3168.0,0
540,6,0,1,6.0,204.5,0
541,6,0,1,4.5,203.5,0
542,6,1,0,3247.5,3169.5,0
543,5,0,1,2.0,204.0,0
544,6,0,1,7.5,205.5,0
545,6,1,0,3246.5,3166.5,0
546,6,0,1,5.5,203.5,0
547,6,0,1,6.0,205.5,0
548,5,0,1,5.5,204.5,0
549,6,0,1,4.0,202.5,0
550,6,0,1,5.0,205.5,0
551,6,0,1,4.5,207.0,0
552,6,1,0,3247.0,3169.0,0
553,6,1,0,3248.0,3167.0,0
554,6,1,0,3248.0,3166.5,0
555,6,1,0,3248.5,3171.0,0
556,6,0,1,6.0,204.0,0
557,6,1,0,3246.0,3168.5,0
558,5,0,1,5.0,206.0,0
559,6,1,0,3248.0,3167.5,0
560,6,0,1,4.5,206.5,0
561,6,1,0,3248.0,3167.0,0
562,5,1,0,3247.5,3168.0,0
563,6,1,0,3247.0,3169.5,0
564,6,1,0,3248.5,3166.5,0
565,5,0,1,4.0,205.0,0
566,6,0,1,3.5,205.5,0
567,5,0,0,1226.5,315.5,1
568,6,0,1,4.0,204.5,0
569,5,1,0,3247.0,3169.5,0
570,6,1,0,3249.0,3167.5,0
571,6,0,1,4.5,204.0,0
572,6,0,1,3.5,206.5,0
573,6,1,0,3247.5,3167.5,0
574,6,0,1,6.5,205.0,0
575,6,1,0,3248.0,3169.0,0
576,6,1,0,3247.0,3168.0,0
577,6,1,0,3247.5,3168.0,0
578,6,1,0,3247.0,3168.5,0
579,5,1,0,3248.5,3168.0,0
580,6,1,0,3246.0,3168.0,0
581,6,0,1,4.0,285.5,0
582,6,0,1,4.5,205.0,0
583,6,0,1,4.5,205.0,0
584,5,1,0,3247.0,3171.0,0
585,6,0,1,4.5,206.0,0
586,6,0,1,4.0,206.5,0
587,6,1,0,3248.0,3168.5,0
588,6,0,1,4.5,204.0,0
589,6,1,0,3248.5,3165.5,0
590,6,0,1,2.0,205.5,0
591,5,1,0,3246.0,3167.0,0
592,6,0,1,4.5,207.5,0
593,6,0,1,4.0,203.0,0
594,6,1,0,3248.0,3166.5,0
595,6,1,0,3247.5,3170.0,0
596,6,1,0,3247.0,3168.0,0
597,6,1,0,3246.0,3169.0,0
598,6,0,1,3.0,213.5,0
599,6,0,1,5.0,204.0,0
600,6,0,1,4.0,204.0,0
601,5,0,1,4.5,204.0,0
602,6,0,1,6.5,204.5,0
603,6,1,0,3246.0,3165.5,0
604,6,0,1,5.0,205.5,0
605,5,0,1,7.0,286.5,0
606,6,0,1,4.5,205.5,0
607,5,0,1,5.5,206.0,0
608,6,1,0,3249.0,3167.5,0
609,6,1,0,3248.5,3169.5,0
610,5,0,1,6.0,207.0,0
611,6,0,1,3.5,205.0,0
612,5,1,0,3247.5,3168.0,0
613,6,1,0,3245.5,3165.0,0
614,5,0,1,4.0,206.0,0
615,6,1,0,3247.5,3166.0,0
616,6,1,0,3249.0,3167.5,0
617,6,1,0,3248.5,3167.5,0
618,6,0,1,4.0,201.5,0
619,6,0,1,6.0,203.5,0
620,6,1,0,3249.0,3166.0,0
621,6,1,0,3247.0,3165.0,0
622,6,1,0,3248.5,3169.0,0
623,6,1,0,3246.5,3169.5,0
624,6,0,0,2039.0,388.5,1
625,6,1,0,3246.0,3168.5,0
626,6,1,0,3248.0,3168.0,0
627,6,0,1,6.0,206.0,0
628,6,1,0,3246.5,3167.5,0
629,5,1,0,3248.5,3166.0,0
630,6,0,1,5.0,204.0,0
631,5,0,1,4.0,207.5,0
632,6,1,0,3248.0,3167.5,0
633,6,1,0,3249.0,3169.0,0
634,6,0,1,4.5,206.0,0
635,6,1,0,3248.5,3167.0,0
636,5,0,1,3.5,204.0,0
637,6,0,1,6.0,204.5,0
638,5,1,0,3247.5,3168.0,0
639,6,0,1,5.0,203.5,0
640,6,0,1,4.0,205.0,0
641,6,0,1,4.0,208.0,0
642,6,1,0,3247.0,3169.0,0
643,5,1,0,3248.0,3167.0,0
644,6,1,0,3248.5,3167.0,0
645,6,1,0,3247.0,3165.0,0
646,6,1,0,3246.0,3168.0,0
647,6,1,0,3247.5,3166.5,0
648,6,1,0,3248.5,3167.0,0
649,5,0,1,6.0,204.5,0
650,5,1,0,3247.5,3168.5,0
651,6,0,1,3.0,206.0,0
652,5,1,0,3246.0,3170.0,0
653,6,0,1,5.5,204.0,0
654,6,0,1,6.0,204.0,0
655,5,0,1,5.5,203.5,0
656,6,1,0,3247.5,3169.5,0
657,5,0,0,1789.0,410.0,1
658,6,0,1,4.5,210.0,0
659,5,1,0,3248.0,3167.0,0
660,6,1,0,3246.5,3168.0,0
661,5,0,1,4.5,206.5,0
662,6,0,1,5.5,204.0,0
663,6,1,0,3248.5,3168.5,0
664,5,1,0,3248.0,3169.5,0
665,6,0,1,1.5,203.5,0
666,6,0,1,3.5,204.0,0
667,6,0,1,5.5,204.5,0
668,6,0,1,3.5,204.5,0
669,6,0,1,4.5,204.0,0
670,6,1,0,3247.0,3166.0,0
671,6,0,1,3.5,207.5,0
672,6,0,1,6.0,215.5,0
673,6,1,0,3247.0,3168.0,0
674,6,1,0,3246.0,3169.0,0
675,6,0,1,6.0,205.5,0
676,6,1,0,3247.0,3167.0,0
677,6,0,1,6.5,203.5,0
678,6,1,0,3247.5,3167.0,0
679,6,1,0,3247.0,3166.0,0
680,6,0,1,3.0,205.5,0
681,6,0,1,4.0,206.5,0
682,6,1,0,3246.5,3168.0,0
683,6,1,0,3247.0,3171.0,0
684,6,1,0,3246.5,3167.0,0
685,6,1,0,3247.5,3171.0,0
686,5,1,0,3247.0,3167.5,0
687,6,0,1,6.0,204.5,0
688,6,1,0,3249.5,3166.5,0
689,6,1,0,3246.5,3168.5,0
690,5,0,1,3.0,205.0,0
691,6,0,1,4.0,205.0,0
692,6,0,1,5.0,268.0,0
693,6,0,1,4.0,205.5,0
694,6,1,0,3247.0,3168.0,0
695,6,0,1,4.0,202.5,0
696,6,1,0,3247.5,3166.5,0
697,6,0,1,4.0,205.0,0
698,6,0,1,3.5,205.0,0
699,6,1,0,3248.0,3169.0,0
700,5,0,1,4.0,205.0,0
701,6,1,0,3247.0,3169.0,0
702,6,1,0,3248.5,3169.0,0
703,6,0,1,5.0,205.0,0
704,6,0,1,4.0,203.5,0
705,5,0,1,5.5,206.5,0
706,6,1,0,3247.0,3168.0,0
707,5,1,0,3247.0,3167.5,0
708,6,1,0,3248.5,3167.5,0
709,6,0,1,4.0,207.5,0
710,5,1,0,3247.5,3166.0,0
711,6,1,0,3246.0,3167.0,0
712,5,0,1,3.5,206.0,0
713,6,0,1,5.0,205.0,0
714,5,0,1,2.5,203.0,0
715,6,1,0,3247.0,3166.5,0
716,6,1,0,3247.5,3167.0,0
717,6,0,1,4.5,221.0,0
718,6,0,1,3.5,204.0,0
719,5,1,0,3248.5,3167.0,0
720,6,1,0,3248.0,3169.0,0
721,6,1,0,3246.0,3167.5,0
722,6,1,0,3248.0,3169.5,0
723,6,1,0,3247.5,3168.0,0
724,6,1,0,3247.5,3167.5,0
725,6,1,0,3248.0,3169.0,0
726,6,0,1,5.0,205.0,0
727,6,0,1,6.0,206.5,0
728,6,0,1,5.5,206.0,0
729,5,1,0,3247.5,3167.0,0
